지역본부,역명,위도,경도,출입구 개수
서울본부,서울,37.55473,126.9708,3
서울본부,용산,37.52991,126.9648,3
서울본부,수색,37.5806,126.8959,1
서울본부,행신,37.3645,126.4952,2
서울본부,도라산,37.89877,126.7098,1
서울본부,신망리,38.132142,127.078131,2
서울본부,대광리,38.184937,127.108498,1
서울본부,신탄리,38.212687,127.138965,1
서울본부,백마고지,38.25763,127.166169,2
서울본부,청량리,37.580543,127.047259,3
서울본부,지평,37.4765,127.6297,1
서울본부,석불,37.4602,127.655,1
서울본부,일신,37.44539,127.6886,1
서울본부,매곡,37.436095,127.730439,1
서울본부,양동,37.421914,127.753314,2
서울본부,삼산,37.392299,127.779846,1
서울본부,서원주,37.349082,127.839965,2
서울본부,원주,37.315989,127.921874,1
수도권광역,광명,37.416196,126.884818,8
수도권광역,영등포,37.5161179,126.9069418,6
수도권광역,수원,37.26608,126.999231,6
수도권광역,평택,36.995815,127.082538,2
강원본부,동백산,37.154893,129.034542,1
강원본부,묵호,37.5468825,129.1076845,1
강원본부,정동진,37.691459,129.032672,1
강원본부,태백,37.1709476,129.0185257,1
강원본부,만종,37.3545011,127.8925572,2
강원본부,횡성,37.4836479,128.0104433,1
강원본부,둔내,37.510619,128.222225,2
강원본부,평창,37.5620242,128.4292237,2
강원본부,진부(오대산),37.642891,128.573885,1
강원본부,강릉,37.7645622,128.8994852,3
강원본부,삼척해변,37.4683103,129.1662641,1
강원본부,신기,37.345934,129.084985,1
대전충청,천안아산,36.79391,127.10445,3
대전충청,오송,36.620557,127.327377,8
대전충청,대전,36.33251,127.4342,4
대전충청,공주,36.332361,127.096778,2
대전충청,천안,36.808837,127.1471716,2
대전충청,전의,36.67849,127.2032,1
대전충청,조치원,36.60113,127.2963,2
대전충청,신탄진,36.4489108,127.4283895,1
대전충청,옥천,36.2982,127.5655,1
대전충청,이원,36.24439,127.6179,1
대전충청,지탄,36.24206,127.6759,1
대전충청,심천,36.25513,127.7115,1
대전충청,각계,36.20836,127.7255,1
대전충청,영동,36.17241,127.7862,1
대전충청,황간,36.22465,127.9112,1
대전충청,추풍령,36.22467,127.9111,1
대전충청,서대전,36.32264061,127.4033177,2
대전충청,계룡,36.272964,127.265421,1
대전충청,연산,36.2121621,127.2004825,1
대전충청,논산,36.20714967,127.0923195,1
대전충청,강경,36.15508431,127.0165024,1
대전충청,오근장,36.70012,127.478532,1
대전충청,청주공항,36.7215792,127.489552,0
대전충청,증평,36.778406,127.58331,1
대전충청,주덕,36.973409,127.802387,1
대전충청,충주,36.9760489,127.9091488,1
대전충청,가남,37.197808,127.535789,2
대전충청,감곡장호원,37.0727,127.3803,2
대전충청,앙성온천,37.09222,127.7871,2
대전충청,아산,36.7921724,127.1038724,2
대전충청,온양온천,36.781026,127.001988,2
대전충청,도고온천,36.75730556,126.8895722,2
대전충청,예산,36.68716944,126.8290167,1
대전충청,홍성,36.58349444,126.6811111,1
대전충청,광천,36.50155278,126.6223306,1
대전충청,청소,36.446092,126.590837,1
대전충청,대천,36.341462,126.586741,2
대전충청,웅천,36.235584,126.606692,1
대전충청,판교,36.155541,126.679461,1
대전충청,서천,36.08233,126.708133,1
대전충청,장항,36.039633,126.714975,1
대전충청,봉양,37.1302029,128.1309214,1
대전충청,제천,37.128505,128.204927,1
대전충청,단양,36.973258,128.343474,1
대전충청,영월,37.182433,128.480746,1
대전충청,별어곡,37.2693199,128.7397793,1
대전충청,선평,37.3213184,128.7121801,1
대전충청,나전,37.4486949,128.6662749,1
대전충청,아우라지,37.4728739,128.7220538,1
대전충청,정선,37.3880834,128.6719769,1
대전충청,삼탄,37.0730976,128.0388281,1
대전충청,민둥산,37.243708,128.77365,1
대전충청,사북,37.226242,128.81698,1
대전충청,고한,37.200866,128.85298,1
전북,익산,35.9394,126.946773,2
전북,정읍,35.575556,126.8425,2
전북,함열,36.0803608,126.9572848,1
전북,김제,35.792564,126.90313,1
전북,신태인,35.6887,126.884123,1
전북,군산,35.9992489,126.7597783,1
전북,대야,35.94487637,126.8242062,1
전북,삼례,35.90666389,127.0642556,1
전북,전주,35.849772,127.161845,1
전북,임실,35.632905,127.28991,1
전북,오수,35.543012,127.320531,1
전북,남원,35.411284,127.361398,1
광주전남,벌교,34.82,127.34,1
광주전남,보성,34.76,127.08,1
광주전남,능주,34.99,126.96,1
광주전남,광주송정,35.14,126.79,3
광주전남,백양사,35.49,126.87,1
광주전남,장성,35.3,126.78,1
광주전남,나주,35.01,126.18,1
광주전남,다시,35.02,126.64,1
광주전남,함평,35.02,126.54,1
광주전남,무안,34.57,126.31,1
광주전남,몽탄,34.93,126.5,1
광주전남,일로,34.85,126.48,1
광주전남,임성리,34.82,126.43,1
광주전남,목포,34.79,126.39,1
광주전남,진상,35.02,127.72,1
광주전남,조성,34.8,127.24,1
광주전남,예당,34.77,127.2,1
광주전남,득량,34.76,127.17,1
광주전남,명봉,34.82,127.07,1
광주전남,이양,34.89,126.99,1
광주전남,화순,35.05,126.96,1
광주전남,효천,35.1,126.88,1
광주전남,서광주,35.13,126.85,1
광주전남,곡성,35.28,127.3,1
광주전남,구례구,35,127,1
광주전남,순천,34.95,127.5,2
광주전남,여천,34.78,127.66,1
광주전남,여수엑스포,34.75,127.75,2
광주전남,극락강,35.18,126.83,1
광주전남,광주,35.17,126.91,1
광주전남,광양,34.96,127.59,1
대구경북,상주,36.4102884,128.1637385,1
대구경북,예천,36.64781745,128.4443759,1
대구경북,탑리,36.2,128.6,1
대구경북,신녕,36.03403,128.79114,1
대구경북,김천(구미),36.113482,128.180991,2
대구경북,동대구,35.879787,128.628623,5
대구경북,신경주,35.79876574,129.1387516,2
대구경북,김천,36.12,128.11,2
대구경북,구미,36.1284582,128.3307228,2
대구경북,왜관,36.047544,128.363,1
대구경북,서대구,35.881304,128.539901,2
대구경북,대구,35.875792,128.596782,2
대구경북,경산,35.819351,128.727683,1
대구경북,남성현,35.704648,128.716315,1
대구경북,청도,35.640129,128.746482,1
대구경북,서경주,35.88473921,129.1803244,1
대구경북,안강,35.97065965,129.2330567,1
대구경북,포항,36.071865,129.341983,1
대구경북,월포,36.204284,129.366728,1
대구경북,장사,36.284421,129.369508,1
대구경북,강구,36.352655,129.372288,1
대구경북,영덕,36.411157,129.377157,2
대구경북,풍기,36.888086,128.539104,1
대구경북,영주,36.81101017,128.625046,2
대구경북,안동,36.57457563,128.6747619,2
대구경북,의성,36.353524,128.6935,1
대구경북,화본,36.12704167,128.6944111,1
대구경북,북영천,35.96575278,128.91765,1
대구경북,영천,35.959483,128.939163,1
대구경북,아화,35.897856,129.051588,2
대구경북,봉화,36.89152725,128.7269751,1
대구경북,춘양,36.9377907,128.9198732,2
대구경북,임기,36.90385556,128.9994028,1
대구경북,현동,36.936726,129.0120158,1
대구경북,분천,36.9324239,129.0585469,1
대구경북,승부,36.9937932,129.0837797,0
대구경북,옥산,36.266702,128.116093,1
대구경북,청리,36.339231,128.12898,1
대구경북,함창,36.5955439,128.2032974,1
대구경북,점촌,36.607205,128.2728907,1
대구경북,용궁,36.6271378,128.3293183,1
대구경북,개포,36.7150967,128.5060464,1
대구경북,하양,35.910027,128.818195,1
부산경남,울산,35.5515794,129.1385479,4
부산경남,부산,35.114495,129.03933,9
부산경남,상동,35.555507,128.760754,1
부산경남,밀양,35.4744457,128.7771466,2
부산경남,삼랑진,35.404847,128.842628,1
부산경남,원동,35.36294,128.920375,1
부산경남,물금,35.3071833,128.9853488,1
부산경남,화명,35.234472,129.0075808,1
부산경남,구포,35.2054413,128.9971076,2
부산경남,사상,35.162619,128.988722,1
부산경남,한림정,35.32155556,128.8035306,1
부산경남,진영,35.298602,128.7740326,1
부산경남,진례,35.15,128.45,2
부산경남,창원중앙,35.14,128.42,1
부산경남,창원,35.15,128.36,1
부산경남,마산,35.14,128.34,1
부산경남,중리,35.14,128.31,1
부산경남,함안,35.14,128.25,4
부산경남,군북,35.25,128.35,3
부산경남,반성,35.1,128.15,1
부산경남,진주,35.15,128.11,1
부산경남,완사,35.13,127.97,1
부산경남,북천,35.11,127.88,1
부산경남,횡천,35.05,127.48,1
부산경남,하동,35.06,127.76,1
부산경남,부전,35.16475,129.060072,2
부산경남,태화강,35.5385136,129.3532654,1
부산경남,북울산,35.6148171,129.3719574,1
